Source
ASHE
CHAIN
Census data
DLUHC admin data
DWP admin data
Devolved data
EU-SILC
FRS / HBAI
Financial Lives Survey
HMRC data
Home Office admin data
Homelessness data
Indices of Multiple Deprivation
LFS
Minimum Income Standards
National Pupil Database
National Student Survey
Non-existent
Not stated
Other
Understanding Society
Universal Credit Data Share
Unspecified admin data
Wealth and Assets Survey
